r_err	mag	sus	N	T	h	gamma	n	filetered error
458.1510147	0.792292727	0.372272234	100	0.824	0	2.365	100	458.1510147
456.6040822	0.815378182	0.335158421	100	0.776	0	2.18	100	456.6040822
450.5976148	0.682987273	0.533528385	100	1.112	0	2.46	100	450.5976148
448.4791012	0.684425455	0.531561797	100	1.496	0	2.16	100	448.4791012
445.3907096	0.694670909	0.517432328	100	1.4	0	2.225	100	445.3907096
443.9915577	0.759376364	0.423347538	100	0.776	0	2.07	100	443.9915577
443.7917756	0.697374545	0.513668743	100	1.496	0	2.17	100	443.7917756
443.7401011	0.050245455	0.997475394	100	4.28	0	2.01	100	443.7401011
439.8714517	0.557516364	0.689175504	100	2.12	0	2.17	100	439.8714517
436.0563283	0.023623636	0.999441924	100	4.04	0	2.055	100	436.0563283
433.7684044	0.642743636	0.586880618	100	1.4	0	2.27	100	433.7684044
432.8333278	0.648372727	0.579612807	100	1.784	0	2.075	100	432.8333278
428.3422118	0.789556364	0.376600749	100	0.776	0	2.385	100	428.3422118
424.9270279	0.587969091	0.654292348	100	2.168	0	2.23	100	424.9270279
422.067886	0.529227273	0.719918494	100	1.976	0	2.39	100	422.067886
418.5645319	0.00036	0.99999987	100	2.648	0	2.38	100	418.5645319
412.3308167	0.710165455	0.495665027	100	1.352	0	2.24	100	412.3308167
403.2476051	0.635576364	0.596042686	100	1.448	0	2.5	100	403.2476051
402.5384145	0.770489091	0.406346561	100	1.4	0	2.175	100	402.5384145
391.6609268	0.861705455	0.25746371	100	0.872	0	2.135	100	391.6609268
389.4740251	0.64074	0.589452252	100	1.592	0	2.5	100	389.4740251
388.0057771	0.559334545	0.687144866	100	3.32	0	2.03	100	388.0057771
385.8173606	0.583525455	0.659498044	100	1.688	0	2.17	100	385.8173606
385.2020037	0.710723636	0.494871913	100	1.592	0	2.285	100	385.2020037
384.7911414	0.614858182	0.621949416	100	1.928	0	2.22	100	384.7911414
380.6664312	0.748427273	0.439856617	100	0.872	0	2.12	100	380.6664312
375.4793396	0.032987273	0.99891184	100	3.752	0	2.145	100	375.4793396
375.2893974	0.802101818	0.356632673	100	0.824	0	2	100	375.2893974
372.7454806	0.64966	0.577941884	100	2.072	0	2.36	100	372.7454806
370.8977663	0.471807273	0.777397897	100	3.128	0	2.035	100	370.8977663
368.8952474	0.683941818	0.532223589	100	1.496	0	2.11	100	368.8952474
367.248909	0.611170909	0.62647012	100	1.496	0	2.405	100	367.248909
364.7986059	0.663727273	0.559466107	100	1.928	0	2.36	100	364.7986059
361.1105257	0.828047273	0.314337714	100	0.824	0	2.45	100	361.1105257
356.5347482	0.119129091	0.98580826	100	2.264	0	2.415	100	356.5347482
355.8655684	0.829874545	0.311308239	100	0.824	0	2.14	100	355.8655684
352.1191264	0.602885455	0.636529129	100	1.4	0	2.45	100	352.1191264
351.5666769	0.625952727	0.608183183	100	1.688	0	2.16	100	351.5666769
351.3033255	0.573158182	0.671489699	100	2.456	0	2.12	100	351.3033255
350.2954064	0.662681818	0.560852808	100	2.072	0	2.09	100	350.2954064
343.354979	0.692114545	0.520977456	100	1.928	0	2.005	100	343.354979
340.6091137	0.708423636	0.498135951	100	1.4	0	2.405	100	340.6091137
334.6232526	0.722007273	0.478705498	100	1.736	0	2.09	100	334.6232526
328.5791313	0.316518182	0.899816241	100	1.304	0	2.465	100	328.5791313
323.6086385	0.828670909	0.313304524	100	0.824	0	2.22	100	323.6086385
321.4914212	0.600630909	0.639242511	100	1.976	0	2.3	100	321.4914212
320.7193364	0.567550909	0.677885966	100	1.784	0	2.465	100	320.7193364
320.5103758	0.502692727	0.747300022	100	2.12	0	2.415	100	320.5103758
319.7115261	0.010361818	0.999892633	100	4.28	0	2.365	100	319.7115261
319.553625	0.709309091	0.496880614	100	1.688	0	2.075	100	319.553625
319.1234201	0.80058	0.359071664	100	0.872	0	2.295	100	319.1234201
314.1062248	0.777841818	0.394962106	100	1.352	0	2.085	100	314.1062248
309.6128431	0.009750909	0.99990492	100	4.328	0	2	100	309.6128431
309.0588196	0.30774	0.905296092	100	1.4	0	2.46	100	309.0588196
307.5508342	0.020641818	0.999573915	100	4.136	0	2.085	100	307.5508342
305.2680477	0.747061818	0.44189864	100	0.776	0	2.4	100	305.2680477
304.6897696	0.024167273	0.999415943	100	2.936	0	2.22	100	304.6897696
304.5814573	0.717350909	0.485407673	100	0.584	0	2.38	100	304.5814573
296.961923	0.671496364	0.549092634	100	1.256	0	2.095	100	296.961923
296.4645422	0.717610909	0.485034583	100	1.544	0	2.46	100	296.4645422
296.1583761	0.030627273	0.99906197	100	2.312	0	2.09	100	296.1583761
294.6125389	0.648801818	0.579056201	100	1.784	0	2.25	100	294.6125389
293.3718092	0.608465455	0.629769791	100	2.12	0	2.39	100	293.3718092
292.911413	0.001861818	0.999996534	100	4.664	0	2.22	100	292.911413
290.2412216	0.775421818	0.398721004	100	0.968	0	2.06	100	290.2412216
285.9822221	0.442629091	0.804079488	100	3.032	0	2.135	100	285.9822221
285.5041516	0.591312727	0.650349259	100	2.312	0	2	100	285.5041516
284.1489692	0.665167273	0.557552499	100	1.64	0	2	100	284.1489692
281.8036643	0.001625455	0.999997358	100	3.08	0	2.26	100	281.8036643
279.3600391	0.654709091	0.571356006	100	2.072	0	2.16	100	279.3600391
272.2689722	0.71064	0.49499079	100	1.4	0	2.35	100	272.2689722
