r_err:mag:sus:N:T:h:gamma:n:no_h_err:model
0.004661369745251088:0.17286685227272724:0.006198149482945747:1600:2.48:0.0::50:0.00458181309883185:2D Ising Model
0.0044223469757501965:0.12925897727272728:0.00351163901842923:1600:2.57:0.0::50:0.004346369008962753:2D Ising Model
0.0042636878795252135:0.10596287499999998:0.0023327520034288484:1600:2.66:0.0::50:0.004188450112893508:2D Ising Model
0.00416715933516409:0.09076636363636363:0.0016726172476709239:1600:2.75:0.0::50:0.004089501111804767:2D Ising Model
0.00408928658787536:0.08053664772727273:0.001279366899652207:1600:2.84:0.0::50:0.004012071453325364:2D Ising Model
0.004042183917993239:0.07300347727272727:0.0010211251956095042:1600:2.9299999999999997:0.0::50:0.00396723499802519:2D Ising Model
0.004009480456322722:0.06700779545454545:0.000843872265022269:1600:3.02:0.0::50:0.00393079979373079:2D Ising Model
0.003999789996905158:0.06190176136363636:0.0006975697419504115:1600:3.11:0.0::50:0.003920475041849058:2D Ising Model
0.003991646417066335:0.058347443181818184:0.0006038047076516901:1600:3.1999999999999997:0.0::50:0.003911692992996123:2D Ising Model
0.003993208851554822:0.05503255681818182:0.0005263692766465733:1600:3.29:0.0::50:0.00390924945885093:2D Ising Model
0.004005056667685474:0.05224303409090909:0.0004596645810244007:1600:3.38:0.0::50:0.003923111892154581:2D Ising Model
0.004020157418671514:0.050176999999999986:0.00041412697487555676:1600:3.4699999999999998:0.0::50:0.003933985447277786:2D Ising Model
0.004048167626130749:0.048139772727272725:0.00036788369284810577:1600:3.56:0.0::50:0.003963949100171965:2D Ising Model
0.004076536904108312:0.046431875000000004:0.0003378277407865037:1600:3.65:0.0::50:0.0039901746551368415:2D Ising Model
0.0041111798384737665:0.04478531818181818:0.0003059704947468732:1600:3.7399999999999998:0.0::50:0.004021447235509392:2D Ising Model
0.004148461919260762:0.04346951136363637:0.00028066667294383054:1600:3.83:0.0::50:0.004056654631264471:2D Ising Model
0.004179538905123876:0.04223820454545455:0.0002579855599383064:1600:3.92:0.0::50:0.004088336585961483:2D Ising Model
0.0042250485190889414:0.04110729545454545:0.00024172194631692985:1600:4.01:0.0::50:0.004131767609279678:2D Ising Model
0.004259137436852458:0.040199409090909084:0.00022423764071306186:1600:4.1:0.0::50:0.004163935115513476:2D Ising Model
0.004310979519571268:0.03913284090909091:0.0002093608553638879:1600:4.1899999999999995:0.0::50:0.004215489993232319:2D Ising Model
0.004353791409394127:0.03842785227272728:0.000197982094796303:1600:4.279999999999999:0.0::50:0.004257487329126655:2D Ising Model
0.0044071698466403:0.037854374999999996:0.00018412973285215575:1600:4.369999999999999:0.0::50:0.004309543184872568:2D Ising Model
0.004455523591627852:0.03708868181818182:0.00017750618993857248:1600:4.46:0.0::50:0.004354776667158119:2D Ising Model
0.004501063917937325:0.03634007954545454:0.00016590171625735064:1600:4.55:0.0::50:0.00439918628010663:2D Ising Model
0.004549568782091661:0.03570706818181818:0.00015671881074547146:1600:4.64:0.0::50:0.004450174904592803:2D Ising Model
0.004608962438730299:0.03523169318181819:0.0001502059022624349:1600:4.7299999999999995:0.0::50:0.004502452562662929:2D Ising Model
0.004659191080560932:0.03457386363636363:0.00014229917928697576:1600:4.82:0.0::50:0.004554495789309192:2D Ising Model
0.004719153616971043:0.034229306818181815:0.00013560713772383797:1600:4.91:0.0::50:0.004610730248765971:2D Ising Model
0.004772303686688314:0.03379896590909091:0.00012958570512704032:1600:5.0:0.0::50:0.004665602825369937:2D Ising Model
