r_err,mag,sus,N,T,h,gamma,n,no_h_err,model
2.572334016,0.709323055,0.00018304,2500,0.968,0,2.6,50,2.520899885,SF
0.335858857,0.020345964,4.95E-05,2500,4.712,0,3.5,50,0.329126267,SF
1.502790709,0.208799491,0.000239648,2500,2.984,0,2.9,50,1.472948345,SF
1.710838322,0.180699855,0.000135125,2500,4.328,0,2.66,50,1.676927179,SF
1.205737276,0.349797236,0.000582555,2500,1.352,0,3.56,50,1.18174636,SF
0.276633235,0.022835855,7.51E-05,2500,3.944,0,3.62,50,0.27102637,SF
1.549573252,0.890925382,8.50E-05,2500,0.584,0,2.06,50,1.518641783,SF
0.242831955,0.051861091,0.000238097,2500,3.752,0,3.08,50,0.237922764,SF
0.244810766,0.022805673,9.09E-05,2500,3.272,0,3.98,50,0.239871251,SF
1.527204682,0.478237018,0.000407298,2500,1.256,0,3.32,50,1.496746393,SF
0.251929085,0.036965382,0.000166737,2500,3.848,0,3.2,50,0.246782119,SF
2.657936457,0.683038473,0.00019996,2500,0.968,0,2.48,50,2.604789709,SF
2.256552097,0.522784436,0.01768274,2500,0.296,0,3.62,50,2.211455215,SF
0.408192788,0.018962473,4.21E-05,2500,5,0,4.1,50,0.399965348,SF
0.234436281,0.0334272,0.000162413,2500,3.656,0,3.2,50,0.22965712,SF
2.140210475,0.798239855,0.000119649,2500,0.872,0,2.18,50,2.097416016,SF
0.694373647,0.137378473,0.000258628,2500,3.464,0,2.9,50,0.68112019,SF
1.334359463,0.3145592,0.000374206,2500,1.928,0,3.2,50,1.307813507,SF
1.876921823,0.027796145,0.001395528,2500,0.2,0,3.68,50,1.839438727,SF
0.213842961,0.083373745,0.000384569,2500,3.464,0,3.02,50,0.209445153,SF
2.339821697,0.238148436,0.000140443,2500,3.848,0,2.66,50,2.293162338,SF
0.11493904,0.200665527,0.002054129,2500,1.256,0,4.1,50,0.113229685,SF
3.295343457,0.374983418,7.00E-05,2500,4.904,0,2.12,50,3.229480936,SF
0.32004771,0.0200752,6.31E-05,2500,3.656,0,4.82,50,0.313606049,SF
1.589743902,0.207977818,0.00019329,2500,3.464,0,2.72,50,1.558178926,SF
0.225642999,0.034802909,0.000193074,2500,3.176,0,3.32,50,0.221037157,SF
1.493990128,0.421165236,0.002292844,2500,0.584,0,4.46,50,1.464151675,SF
